image/jpeg,4419
image/png,2032
image/gif,807
text/javascript,731
text/css,682
application/x-javascript,612
application/javascript,342
text/html,331
font/woff,201
application/x-shockwave-flash,118
,105
application/octet-stream,63
image/svg+xml,57
text/plain,49
image/jpg,38
application/json,34
text/xml,31
text/x-cross-domain-policy,22
application/font-woff,22
application/x-unknown-content-type,20
application/x-font-woff,17
text/x-json,14
binary/octet-stream,13
application/x-amf,10
application/x-download,9
application/xml,9
application/x-font-ttf,6
video/abst,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/js,3
application/vnd.ms-fontobject,2
video/mp4,2
image/bmp,2
image/pjpeg,1
text/event-stream,1
font/ttf,1
text/vnd.wap.wml,1
video/x-flv,1
video/f4m,1
video/f4f,1
