image/jpeg,4633
image/png,2103
application/x-javascript,1090
text/javascript,931
image/gif,910
text/css,723
text/html,552
application/javascript,522
font/woff,201
application/x-shockwave-flash,131
,111
application/octet-stream,63
text/plain,58
image/svg+xml,57
text/xml,48
application/json,46
application/x-unknown-content-type,39
image/jpg,38
text/x-cross-domain-policy,24
application/font-woff,22
application/x-font-woff,17
text/x-json,14
binary/octet-stream,13
application/xml,11
application/x-amf,10
application/x-download,9
application/x-font-ttf,6
video/abst,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/js,3
application/vnd.ms-fontobject,2
video/mp4,2
image/bmp,2
image/pjpeg,1
multipart/mixed,1
text/event-stream,1
font/ttf,1
text/vnd.wap.wml,1
video/x-flv,1
audio/ogg,1
video/f4m,1
video/f4f,1
