image/jpeg,4766
image/png,2143
image/gif,891
application/x-javascript,866
text/javascript,828
text/css,701
text/html,541
application/javascript,470
font/woff,204
application/x-shockwave-flash,155
,99
application/octet-stream,59
text/xml,57
image/svg+xml,54
text/plain,47
application/x-unknown-content-type,42
application/json,36
application/font-woff,27
text/x-cross-domain-policy,26
application/x-font-woff,16
application/xml,16
binary/octet-stream,12
application/x-amf,11
application/x-download,10
image/jpg,10
video/abst,7
application/x-font-ttf,6
image/x-png,4
font/x-woff,4
application/x-woff,4
application/js,3
image/bmp,3
video/webm,2
application/vnd.ms-fontobject,2
video/f4f,2
multipart/mixed,1
font/ttf,1
text/vnd.wap.wml,1
audio/mpeg,1
text/x-c,1
application/smil,1
audio/ogg,1
video/f4m,1
video/mp4,1
application/f4m+xml,1
