image/jpeg,4712
image/png,2125
image/gif,792
text/javascript,746
text/css,691
application/x-javascript,597
application/javascript,336
text/html,323
font/woff,207
application/x-shockwave-flash,134
,101
application/octet-stream,67
image/svg+xml,58
text/plain,53
text/xml,33
application/json,28
text/x-cross-domain-policy,24
application/font-woff,23
application/x-unknown-content-type,21
application/x-font-woff,18
text/x-json,14
binary/octet-stream,12
application/x-amf,12
application/xml,11
video/abst,9
application/x-download,7
image/jpg,7
application/x-font-ttf,6
video/f4f,5
image/x-png,4
font/x-woff,4
application/x-woff,4
application/js,3
video/webm,2
application/vnd.ms-fontobject,2
video/f4m,2
image/bmp,2
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
video/mp4,1
application/f4m+xml,1
