image/jpeg,4871
image/png,2195
application/x-javascript,1006
text/javascript,995
image/gif,888
text/css,731
text/html,552
application/javascript,526
font/woff,207
application/x-shockwave-flash,152
,105
application/octet-stream,67
text/plain,60
image/svg+xml,58
text/xml,50
application/x-unknown-content-type,41
application/json,41
text/x-cross-domain-policy,25
application/font-woff,23
application/x-font-woff,18
application/xml,16
text/x-json,14
binary/octet-stream,12
application/x-amf,12
video/abst,9
application/x-download,7
image/jpg,7
application/x-font-ttf,6
video/f4f,5
image/x-png,4
font/x-woff,4
application/x-woff,4
application/js,3
video/webm,2
application/vnd.ms-fontobject,2
video/f4m,2
image/bmp,2
multipart/mixed,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
audio/ogg,1
video/mp4,1
application/f4m+xml,1
