image/gif,6597
text/html,4473
text/javascript,2756
application/x-javascript,2453
application/javascript,1375
application/x-unknown-content-type,1151
text/plain,1006
image/png,913
image/jpeg,801
application/x-shockwave-flash,459
text/css,222
application/json,90
,77
text/xml,74
application/octet-stream,30
application/xml,22
image/svg+xml,17
text/x-cross-domain-policy,3
font/x-woff,3
multipart/mixed,2
application/relax-ng-compact-syntax,2
text/json,2
video/webm,1
audio/ogg,1
text/x-js,1
image/bmp,1
image/jpg,1
