image/jpeg,5824
image/png,2412
image/gif,2093
text/javascript,1215
text/html,1098
application/x-javascript,1034
text/css,792
application/javascript,573
font/woff,269
application/x-shockwave-flash,261
,191
text/plain,175
application/json,137
application/x-unknown-content-type,124
application/octet-stream,89
text/xml,88
image/svg+xml,78
application/xml,37
image/jpg,37
text/x-cross-domain-policy,30
application/font-woff,23
application/x-font-woff,19
text/x-json,15
binary/octet-stream,12
application/x-amf,12
application/x-font-ttf,9
video/x-flv,9
video/abst,6
application/unknown,6
application/x-download,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/mp4,4
application/js,3
video/f4f,2
application/vnd.ms-fontobject,2
image/bmp,2
image/tiff,1
text/x-js,1
video/f4m,1
application/f4m+xml,1
application/x-www-form-urlencoded,1
font/ttf,1
text/vnd.wap.wml,1
application/vnd.apple.mpegurl,1
application/x-troff-man,1
video/mp2t,1
