DoubleClick,2489
Google Analytics,952
AppNexus,864
Google Adsense,704
Rubicon,520
ScoreCard Research Beacon,448
Turn,362
OpenX,344
MediaMath,314
Omniture (Adobe Analytics),298
Facebook Connect,287
Casale Media,253
Criteo,246
Right Media,238
Advertising.com,232
Krux Digital,232
ChartBeat,230
AdRoll,222
Facebook Social Plugins,218
PubMatic,209
FriendFinder Network,204
Amazon Associates,198
LiveRamp,191
Tealium,187
SMART AdServer,186
Quantcast,181
Zedo,178
Twitter Button,170
ADTECH,167
Gemius,158
New Relic,153
DoubleClick Bid Manager,153
Audience Science,151
Sizmek,143
Google AdWords Conversion,136
DoubleClick Floodlight,122
Ghostery Privacy Notice,121
AddThis,121
CNZZ,118
Taboola,118
Improve Digital,116
TradeDoubler,114
Adobe Test & Target,113
BlueKai,108
NetRatings SiteCensus,107
Vi,105
Media Innovation Group,102
Allyes,100
Bizo,100
Medialand,95
Tribal Fusion,94
Tanx,94
Facebook Exchange (FBX),93
redvertisment,91
Adition,90
Lotame,87
DSNR Media Group,86
ExoClick,84
Rocket Fuel,83
Effective Measure,82
Realtime,81
INFOnline,80
AdScale,80
Zanox,79
AdRiver,79
Media Optimizer (Adobe),75
Content.ad,75
AdForm,75
TNS,73
Ensighten,73
Datalogix,73
Gravatar,73
Google Tag Manager,70
Alexa Metrics,69
Weborama,69
Lijit,67
Atlas,64
Baidu Ads,64
AdFox,63
Optimizely,63
Neustar AdAdvisor,62
WebTrends,62
OptAim,61
Visual Revenue,60
VisualDNA,58
ad2games,57
Adap.tv,57
DoubleClick DART,56
TRUSTe Notice,55
TradeDesk,53
Media.net,53
LivePerson,52
AT Internet,50
DoubleClick Spotlight,50
AdMicro,50
Simpli.fi,49
Ligatus,48
Kaltura,48
Typekit by Adobe,47
BrightTag,47
LiveInternet,46
ShareASale,46
Media6Degrees,46
Impulse,46
KissMetrics,45
Tynt,45
Rambler,45
Acxiom,44
Crazy Egg,43
NetAffiliation,42
Popcash,41
eXelate,41
Digilant,41
BidSwitch,41
Adcash,40
RadiumOne,39
Videology,39
Netmining,38
Vibrant Ads,38
Zenovia,38
Brightcove,37
Statcounter,37
Hi-Media Performance,37
Integral Ad Science,37
Flashtalking,35
ad6media,35
ValueClick Mediaplex,35
DoublePimp,34
SpotXchange,34
RCS MediaGroup,33
MarkMonitor,33
AdChina,32
Parse.ly,32
cXense,32
Adometry,32
Chango,31
Adnet (MedyaNet),31
DataXu,31
Mixpanel,31
Google+ Platform,30
Adobe Tag Container,30
Coremetrics,30
Linkbucks,30
DirectREV,30
Platform161,29
Po.st,29
PulsePoint,29
PopAds,29
Advidi,29
Quisma,29
Aftonbladet Ads,28
Miaozhen,28
Adsame,28
Dotomi,28
Perform Group,28
ShareThis,28
PlugRush,28
SiteScout,27
Hubert Burda Media,27
MediaV,27
Twitter Advertising,27
Aggregate Knowledge,26
e-planning,26
TrafficJunky,25
Flite,25
Gravity Insights,25
Quigo AdSonar,25
Connexity,25
AdMaster.cn,25
TriggIt,24
Veruta,24
Sociomantic,24
BuySellAds,24
Moat,24
Jumptap,24
[x+1],23
ClickTale,23
PolyAd,23
ForeSee,23
Twitter Badge,23
Emediate,22
Xaxis,22
Adnologies,21
Disqus,21
Yandex.Metrics,21
Conviva,21
ValueClick Media,20
SOASTA mPulse,20
OwnerIQ,20
5min Media,20
Dynamic Logic,19
Pingdom,19
VoiceFive,19
Vizury,19
AdMeta,19
AdvertPro,19
Experian Marketing Services,19
AWeber,19
Brandscreen,19
Outbrain,18
Marketo,18
Generic Affiliate Systems,18
Scupio,18
eBay Stats,18
Nanigans,18
MicroAd,18
BrightRoll,18
EQ Advertising,18
Adblade,18
Optimax Media Delivery,17
Facebook Social Graph,17
BBelements,17
ShareThrough,16
MediaHub,16
FreeWheel,16
Cross Pixel Media,16
Accuen Media,15
Google AJAX Search API,15
Adkontekst,15
Wordpress Stats,15
Convertro,15
Burst Media,15
Cedexis Radar,15
Admotion,15
SkimLinks,15
Dratio,15
AdSupply,15
Histats,15
LinkedIn Widgets,15
Kantar Media,15
Meetrics,15
Whos.amung.us,15
Yieldlab,14
Mass Relevance,14
Komoona,14
Acuity Ads,14
MaxPoint Interactive,14
eBuzzing,14
Propeller Ads,14
Adview (Agora),14
LiveRail,14
JuggCash,14
Livefyre,14
UserVoice,14
Navegg,14
Legolas Media,14
Marin Search Marketer,14
DoubleVerify,14
eStat,14
Federated Media,13
Makazi Group,13
KissInsights,13
Impact Radius,13
Connextra,13
Visual Website Optimizer,13
Dynamic Yield,13
Adify,13
Adroit Digital Solutions,13
PointRoll,13
Begun,13
Crimtan,13
AMP Platform,12
Olark,12
CompeteXL,12
Plista,12
Switch Concepts,12
xplosion,12
Kauli,12
Ziff Davis,12
Eloqua,12
33Across,11
Specific Media,11
Adzerk,11
ToneFuse,11
4w Marketplace,11
GetIntent,11
Magnetic,11
Pinterest,11
Demandbase,10
Fetchback,10
aitarget,10
Tacoda,10
AdPlan,10
Chitika,10
Ve Interactive,10
Proclivity,10
NetSeer,10
AdOcean,9
AdHitz,9
Unknown Advertisers,9
M. P. NEWMEDIA,9
TrafficHaus,9
Pornvertising,9
impAct,9
LinkWithin,9
Janrain,9
eClick,9
eyeReturn Marketing,8
Salesforce Live Agent,8
Intermarkets,8
Sonobi Media,8
Webtrekk,8
SexAdNetwork,8
