image/gif,8251
image/jpeg,6503
text/html,5341
text/javascript,3826
application/x-javascript,3158
image/png,2942
application/javascript,1875
application/x-unknown-content-type,1237
text/plain,1088
text/css,890
application/x-shockwave-flash,688
font/woff,269
,263
application/json,227
text/xml,159
application/octet-stream,117
image/svg+xml,79
application/xml,54
image/jpg,38
text/x-cross-domain-policy,33
application/font-woff,23
application/x-font-woff,19
text/x-json,15
binary/octet-stream,12
application/x-amf,12
application/x-font-ttf,9
video/x-flv,9
video/abst,6
application/unknown,6
application/x-download,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/mp4,4
application/js,3
image/bmp,3
application/relax-ng-compact-syntax,2
video/f4f,2
application/vnd.ms-fontobject,2
image/tiff,1
multipart/mixed,1
text/x-js,1
video/f4m,1
application/f4m+xml,1
application/x-www-form-urlencoded,1
font/ttf,1
text/vnd.wap.wml,1
audio/ogg,1
application/vnd.apple.mpegurl,1
application/x-troff-man,1
video/mp2t,1
