image/jpeg,5064
image/png,2229
image/gif,1233
text/javascript,881
application/x-javascript,738
text/css,688
text/html,551
application/javascript,477
application/x-shockwave-flash,227
font/woff,225
text/plain,152
,147
application/x-unknown-content-type,87
image/svg+xml,78
application/octet-stream,76
text/xml,73
application/json,58
image/jpg,39
application/xml,35
text/x-cross-domain-policy,28
application/font-woff,26
application/x-font-woff,17
text/x-json,15
binary/octet-stream,13
application/x-amf,10
video/x-flv,8
application/x-font-ttf,6
video/abst,6
video/mp4,6
application/x-download,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/unknown,4
application/js,3
image/bmp,3
application/vnd.ms-fontobject,2
image/tiff,1
application/x-www-form-urlencoded,1
application/x-amz-json-1.1,1
text/vnd.wap.wml,1
text/x-c,1
text/x-js,1
application/x-troff-man,1
video/f4m,1
video/f4f,1
