image/jpeg,4358
image/png,2125
image/gif,900
text/css,657
text/javascript,625
application/x-javascript,611
application/javascript,346
text/html,333
font/woff,175
application/x-shockwave-flash,130
,105
text/plain,91
application/octet-stream,65
image/svg+xml,60
application/json,43
text/xml,42
text/x-cross-domain-policy,25
application/x-unknown-content-type,23
application/font-woff,23
application/x-font-woff,17
binary/octet-stream,14
application/xml,14
image/jpg,8
application/x-amf,7
application/x-download,7
application/x-font-ttf,6
video/abst,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/mp4,4
application/js,3
application/vnd.ms-fontobject,2
image/bmp,2
image/pjpeg,1
image/tiff,1
text/vnd.wap.wml,1
video/f4m,1
video/f4f,1
