image/jpeg,4504
image/png,2160
image/gif,931
text/css,665
text/javascript,629
application/x-javascript,629
application/javascript,372
text/html,343
font/woff,175
application/x-shockwave-flash,130
,105
text/plain,91
application/octet-stream,65
image/svg+xml,60
text/xml,46
application/json,44
text/x-cross-domain-policy,29
application/x-unknown-content-type,24
application/font-woff,23
application/xml,21
application/x-font-woff,17
binary/octet-stream,14
image/jpg,8
application/x-amf,7
application/x-download,7
application/x-font-ttf,6
video/abst,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/mp4,4
application/js,3
application/vnd.ms-fontobject,2
image/bmp,2
image/pjpeg,1
image/tiff,1
multipart/mixed,1
text/vnd.wap.wml,1
video/f4m,1
video/f4f,1
