image/gif,7456
text/html,4830
text/javascript,2670
application/x-javascript,2601
application/javascript,1688
application/x-unknown-content-type,1644
text/plain,1069
image/png,968
image/jpeg,683
application/x-shockwave-flash,457
text/css,216
application/json,110
text/xml,74
,69
application/octet-stream,29
application/xml,25
image/svg+xml,17
text/x-cross-domain-policy,5
text/json,4
font/x-woff,3
video/webm,2
application/relax-ng-compact-syntax,2
multipart/mixed,1
audio/ogg,1
text/x-js,1
video/mp4,1
image/bmp,1
