image/jpeg,5550
image/png,2391
image/gif,2055
text/javascript,1174
text/html,1143
application/x-javascript,1058
text/css,791
application/javascript,600
application/x-shockwave-flash,246
font/woff,242
text/plain,194
application/json,150
,131
application/x-unknown-content-type,111
application/octet-stream,89
image/svg+xml,79
text/xml,78
application/xml,41
image/jpg,38
text/x-cross-domain-policy,31
application/font-woff,19
application/x-font-woff,17
text/x-json,13
binary/octet-stream,13
application/x-amf,12
application/x-font-ttf,6
application/x-download,6
application/unknown,6
video/abst,5
video/x-flv,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/js,3
video/mp4,3
application/x-amz-json-1.1,2
application/vnd.ms-fontobject,2
video/f4f,2
image/bmp,2
image/pjpeg,1
image/tiff,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
application/x-troff-man,1
video/f4m,1
application/f4m+xml,1
