image/gif,9162
image/jpeg,6385
text/html,5714
text/javascript,3686
application/x-javascript,3383
image/png,3188
application/javascript,2145
application/x-unknown-content-type,1715
text/plain,1171
text/css,942
application/x-shockwave-flash,670
application/json,259
font/woff,242
,189
text/xml,149
application/octet-stream,116
image/svg+xml,80
application/xml,65
image/jpg,38
text/x-cross-domain-policy,36
application/font-woff,19
application/x-font-woff,17
text/x-json,13
binary/octet-stream,13
application/x-amf,12
application/x-font-ttf,6
application/x-download,6
application/unknown,6
video/abst,5
video/webm,5
video/x-flv,5
image/x-png,4
font/x-woff,4
application/x-woff,4
video/mp4,4
application/js,3
image/bmp,3
application/x-amz-json-1.1,2
application/relax-ng-compact-syntax,2
text/json,2
video/f4f,2
application/vnd.ms-fontobject,2
image/pjpeg,1
image/tiff,1
video/f4m,1
application/f4m+xml,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
audio/ogg,1
application/x-troff-man,1
