image/jpeg,5055
image/png,2279
image/gif,1982
text/javascript,1189
text/html,1100
application/x-javascript,993
text/css,759
application/javascript,522
font/woff,278
application/x-shockwave-flash,230
,211
text/plain,176
application/json,129
application/x-unknown-content-type,104
application/octet-stream,73
text/xml,72
image/svg+xml,60
application/xml,30
text/x-cross-domain-policy,30
application/font-woff,25
text/x-json,13
image/jpg,13
binary/octet-stream,11
application/x-font-woff,11
application/x-amf,10
video/mp4,6
video/x-flv,6
application/x-font-ttf,5
image/x-png,4
font/x-woff,4
video/abst,4
application/x-woff,4
application/x-download,4
application/unknown,4
application/js,3
image/bmp,3
video/webm,2
image/tiff,1
application/x-amz-json-1.1,1
video/f4m,1
flv-application/octet-stream,1
application/f4m+xml,1
video/f4f,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
application/vnd.apple.mpegurl,1
application/x-troff-man,1
video/mp2t,1
