image/gif,7675
image/jpeg,5625
text/html,5161
text/javascript,3697
application/x-javascript,3074
image/png,2762
application/javascript,1816
application/x-unknown-content-type,1490
text/plain,1039
text/css,849
application/x-shockwave-flash,574
,331
font/woff,278
application/json,229
text/xml,135
application/octet-stream,91
image/svg+xml,61
application/xml,46
text/x-cross-domain-policy,35
application/font-woff,25
image/jpg,14
text/x-json,13
binary/octet-stream,11
application/x-font-woff,11
application/x-amf,10
video/mp4,7
video/x-flv,7
application/x-font-ttf,5
image/x-png,4
font/x-woff,4
video/abst,4
application/x-woff,4
application/x-download,4
application/unknown,4
image/bmp,4
application/js,3
video/webm,2
application/relax-ng-compact-syntax,2
image/tiff,1
application/x-amz-json-1.1,1
video/f4m,1
flv-application/octet-stream,1
application/f4m+xml,1
video/f4f,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
audio/ogg,1
application/vnd.apple.mpegurl,1
application/x-troff-man,1
video/mp2t,1
