image/jpeg,5591
image/png,2405
image/gif,1492
application/x-javascript,1114
text/javascript,1112
text/html,838
text/css,777
application/javascript,571
application/x-shockwave-flash,256
font/woff,255
text/plain,175
,146
application/json,119
application/x-unknown-content-type,103
application/octet-stream,78
image/svg+xml,75
text/xml,70
image/jpg,37
application/xml,33
text/x-cross-domain-policy,28
application/font-woff,26
text/x-json,15
application/x-font-woff,14
binary/octet-stream,11
video/abst,10
application/x-amf,10
application/x-font-ttf,7
application/x-download,7
application/unknown,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/mp4,4
application/js,3
application/vnd.ms-fontobject,2
video/f4f,2
image/bmp,2
image/tiff,1
application/x-amz-json-1.1,1
text/event-stream,1
font/ttf,1
text/vnd.wap.wml,1
video/x-flv,1
application/x-troff-man,1
video/f4m,1
application/f4m+xml,1
