image/jpeg,6030
image/gif,5788
text/html,3462
application/x-javascript,3023
text/javascript,2714
image/png,2607
application/javascript,2016
application/x-unknown-content-type,972
text/css,863
text/plain,692
application/x-shockwave-flash,411
font/woff,255
,211
application/json,196
text/xml,105
application/octet-stream,85
image/svg+xml,76
application/xml,42
image/jpg,38
text/x-cross-domain-policy,28
application/font-woff,26
text/x-json,15
application/x-font-woff,14
binary/octet-stream,11
video/abst,10
application/x-amf,10
application/x-font-ttf,7
application/x-download,7
application/unknown,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/relax-ng-compact-syntax,4
video/mp4,4
application/js,3
image/bmp,3
video/f4f,2
video/x-flv,2
application/vnd.ms-fontobject,2
image/tiff,1
multipart/mixed,1
application/x-amz-json-1.1,1
video/f4m,1
application/f4m+xml,1
text/event-stream,1
font/ttf,1
text/vnd.wap.wml,1
audio/ogg,1
application/x-troff-man,1
