image/gif,4689
text/html,2831
application/x-javascript,2267
text/javascript,1806
application/javascript,1375
application/x-unknown-content-type,918
text/plain,602
image/png,569
image/jpeg,556
text/css,219
application/x-shockwave-flash,212
application/json,72
,46
text/xml,40
image/svg+xml,17
application/xml,17
application/octet-stream,13
multipart/mixed,4
font/x-woff,3
application/relax-ng-compact-syntax,3
text/json,2
application/x-vnd.mozilla.guess-from-ext,1
video/webm,1
audio/ogg,1
text/x-js,1
video/mp4,1
image/bmp,1
