image/jpeg,6051
image/gif,5870
text/html,3508
application/x-javascript,3103
image/png,2815
text/javascript,2778
application/javascript,1836
application/x-unknown-content-type,1001
text/css,842
text/plain,687
application/x-shockwave-flash,422
font/woff,236
,225
application/json,192
application/octet-stream,109
text/xml,107
image/svg+xml,87
application/xml,46
text/x-cross-domain-policy,40
image/jpg,31
application/font-woff,21
application/x-font-woff,17
text/x-json,15
application/x-amf,13
binary/octet-stream,11
application/x-download,10
video/abst,7
application/x-font-ttf,6
video/x-flv,6
application/unknown,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/relax-ng-compact-syntax,3
application/js,3
audio/ogg,3
image/bmp,3
video/mp4,2
video/f4f,2
application/x-www-form-urlencoded,2
application/vnd.ms-fontobject,2
application/x-vnd.mozilla.guess-from-ext,1
multipart/mixed,1
video/f4m,1
application/f4m+xml,1
text/vnd.wap.wml,1
text/x-c,1
application/x-troff-man,1
