image/jpeg,5807
image/png,2446
image/gif,1538
text/javascript,1101
application/x-javascript,1095
text/html,846
text/css,790
application/javascript,534
font/woff,232
,216
application/x-shockwave-flash,195
text/plain,166
application/json,118
application/x-unknown-content-type,117
image/svg+xml,79
application/octet-stream,76
text/xml,62
application/xml,30
application/font-woff,24
text/x-cross-domain-policy,21
application/x-font-woff,17
text/x-json,15
binary/octet-stream,11
application/x-amf,11
application/x-download,8
video/abst,7
application/x-font-ttf,6
application/unknown,6
image/jpg,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/x-flv,3
application/js,3
audio/ogg,2
application/vnd.ms-fontobject,2
video/f4f,2
image/tiff,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
text/x-js,1
application/x-troff-man,1
video/f4m,1
video/mp4,1
image/bmp,1
